,id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_casa,precio_m2_sector_departamento,tiene_comparables_cercanos,tipo_propiedad_departamento,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
0,MLC-1975380243,4.0,2.0,3,10,True,5141.9,5141.9,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,160.0,120.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,1500000.0,4,9642.857142857143,10166.71297582662,True,False,False,False,0,1.3333333333333333
1,MLC-4045555662,5.0,5.0,6,28,True,1004.6,1004.6,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,625.0,400.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0,6178.0,3.0,4.0,4.0,2620.0,1658.0,100.0,3188395.2,1,12142.857142857143,10166.71297582662,True,False,False,False,0,1.5625
2,MLC-4111942668,3.0,1.0,4,24,True,5167.8,5167.8,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,140.0,1.0,70.0,0,0.0,0.0,1.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,1101267.9,4,9642.857142857143,10166.71297582662,True,False,False,False,0,1.1785714285714286
3,MLC-4152885528,1.0,1.0,2,11,False,4095.4,4095.4,5.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,80.0,80.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,5569.0,2.0,4.0,4.0,8881.0,4312.0,47.47654616905255,480000.0,1,7791.327913279132,10166.71297582662,False,False,False,False,0,1.0
4,MLC-4073503350,3.0,3.0,4,32,False,3840.4,3840.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,136.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,1850000.0,1,7921.985815602837,10166.71297582662,True,False,False,False,0,1.2720588235294117
5,MLC-1962996697,3.0,1.0,4,50,False,774.4,774.4,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,210.0,210.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,2100000.0,1,18409.463855421687,10166.71297582662,True,False,False,False,0,1.0
6,MLC-4021086896,3.0,12.0,5,88,False,1273.1,1273.1,5.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,311.0,321.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,5941.0,2.0,4.0,4.0,3137.0,1891.0,99.99999999999999,2783196.5,2,10132.978723404256,10166.71297582662,True,False,False,False,0,0.9688473520249221
7,MLC-4061324778,4.0,2.0,4,5,True,4015.3,4015.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,2500000.0,1,13333.333333333334,10166.71297582662,True,False,False,False,0,1.0
8,MLC-4045568826,4.0,2.0,4,5,True,4015.3,4015.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,180.0,0.0,80.0,0,1.0,0.0,1.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,2500000.0,1,9333.333333333334,10166.71297582662,True,False,False,False,1,0.7777777777777778
9,MLC-1975367239,5.0,5.0,6,28,False,3792.9,3792.9,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,625.0,400.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,3174639.1999999997,1,9404.761904761905,10166.71297582662,True,False,False,False,0,1.5625
