id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4101740888,2.0,0.0,2,15,True,793.4,793.4,5.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,45.0,45.0,0,80000.0,1,0.0,0.0,1.0,1.0,9.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,450000.0,2,10638.297872340425,True,False,False,0,1.0
MLC-4152851530,2.0,1.0,3,4,True,5612.0,5612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,67.0,0,50.0,1,0.0,0.0,1.0,1.0,4.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,580000.0,0,8250.0,True,False,False,0,1.044776119402985
MLC-4047161288,2.0,1.0,3,0,True,4556.3,4556.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,74.9,0,0.0,0,0.0,0.0,1.0,1.0,1.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,650000.0,4,10186.615186615187,True,False,False,0,0.7983978638184245
MLC-4103709030,2.0,0.0,2,16,True,792.7,792.7,5.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,65.0,65.0,1,110000.0,1,0.0,0.0,1.0,1.0,9.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,500000.0,2,10638.297872340425,True,False,False,0,1.0
MLC-4091480256,2.0,1.0,2,10,True,515.2,515.2,5.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,0.0,5.0,0.0,56.0,54.0,1,100000.0,1,0.0,0.0,1.0,1.0,9.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,599000.0,2,11380.952380952382,True,False,False,0,1.037037037037037
MLC-1961382985,2.0,0.0,2,5,True,3913.1,3913.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,68.0,0,100000.0,1,1.0,0.0,1.0,1.0,4.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,650000.0,1,11205.980066445183,True,False,False,0,1.0294117647058822
MLC-4058629810,1.0,0.0,3,16,True,1087.8,1087.8,5.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,42.0,0,55000.0,0,0.0,0.0,1.0,1.0,2.0,6178.0,3.0,4.0,4.0,2620.0,1658.0,100.0,420000.0,2,10507.828181453231,True,False,False,0,1.0
MLC-1973919873,2.0,1.0,3,10,True,973.0,973.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,88.0,1,0.0,1,0.0,0.0,1.0,1.0,8.0,6178.0,3.0,4.0,4.0,2620.0,1658.0,100.0,850000.0,2,10819.148936170212,True,False,False,0,1.0227272727272727
MLC-1975378827,1.0,0.0,1,1,False,698.0,698.0,5.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,38.0,35.0,0,70000.0,0,0.0,0.0,1.0,1.0,16.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,600000.0,2,11191.683569979716,True,False,False,0,1.0857142857142856
MLC-4064406526,2.0,0.0,2,1,True,1373.8,1373.8,5.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0,60000.0,0,0.0,0.0,0.0,1.0,10.0,6691.0,4.0,4.0,4.0,2810.0,1764.0,99.99999999999997,520000.0,4,10915.090622537431,True,False,False,0,1.0
MLC-4138302392,2.0,1.0,2,36,True,761.1,761.1,5.0,5.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,5.0,0.0,72.0,72.0,0,130000.0,0,0.0,0.0,1.0,1.0,2.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,570000.0,2,10526.315789473685,True,False,False,0,1.0
MLC-4151690872,1.0,0.0,1,4,True,1044.8,1044.8,5.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,1,80.0,0,0.0,0.0,1.0,0.0,9.0,6279.0,3.0,4.0,4.0,2598.0,1648.0,99.99999999999997,400000.0,2,10000.0,True,False,False,0,1.1714285714285715
MLC-4155619242,1.0,1.0,2,1,True,383.2,383.2,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,4.0,0.0,48.3,52.4,0,60.0,0,0.0,0.0,1.0,1.0,15.0,5332.0,1.0,4.0,4.0,4499.0,2404.0,99.99999999999996,550000.0,2,11168.384879725085,True,False,False,0,0.9217557251908397
MLC-2037751679,1.0,0.0,1,0,True,2744.4,2744.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0,1,35.0,0,0.0,0.0,1.0,0.0,1.0,5901.0,2.0,4.0,4.0,3835.0,2050.0,58.617333955047656,365000.0,4,8654.066437571591,True,False,False,0,1.0606060606060606
