id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,pob_rsh_uv,hog_uv,p_urbano,precio_clp,costo_total_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4108980484,1.0,0,1,5,True,2566.4,2566.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,37.9,0.0,50000.0,0.0,0.0,0.0,1.0,1.0,3.0,6304.0,3.0,4026.0,2134.0,100.0,380000.0,430000.0,4,12340.425531914894,True,False,False,0,0.8733509234828497
MLC-1908136045,2.0,1,2,0,True,1824.6,4989.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,120000.0,1.0,1.0,0.0,1.0,1.0,1.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,620000.0,740000.0,3,11747.553816046966,True,False,True,0,1.0158730158730158
MLC-1944128621,1.0,1,2,7,True,2711.2,2711.2,5.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,56.0,54.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5455.0,1.0,10400.0,5578.0,70.0075532601241,470000.0,470000.0,0,10738.831615120274,True,False,False,0,1.037037037037037
MLC-2016429359,2.0,0,3,25,False,1455.6,1455.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,92000.0,0.0,0.0,0.0,1.0,0.0,5.0,6279.0,3.0,2598.0,1648.0,100.0,470000.0,562000.0,2,11666.666666666666,True,False,False,0,1.0
MLC-1946981377,2.0,1,2,10,True,1681.8,2996.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,70000.0,0.0,1.0,0.0,1.0,1.0,6.0,5879.0,4.0,12234.0,5977.0,80.4354882614475,480000.0,550000.0,0,10166.666666666666,True,False,True,0,1.0
MLC-1954103769,1.0,0,2,6,True,4707.8,4707.8,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,60.0,0.0,40000.0,1.0,0.0,0.0,1.0,0.0,4.0,6409.0,4.0,6576.0,3080.0,94.3101149608368,580000.0,620000.0,0,9144.84126984127,True,False,False,1,0.9666666666666667
MLC-1957487293,2.0,1,2,5,True,3221.5,4548.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,64.0,0.0,90000.0,0.0,1.0,0.0,1.0,0.0,1.0,5933.0,4.0,1180.0,720.0,100.0,630000.0,720000.0,4,10254.261363636364,True,True,False,0,0.9375
MLC-1958748073,2.0,0,2,8,True,848.9,848.9,5.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,0.0,5.0,1.0,75.0,70.0,1.0,90000.0,0.0,0.0,0.0,1.0,1.0,7.0,3967.0,1.0,2152.0,1148.0,50.505791961991,570000.0,660000.0,2,11569.148936170212,True,False,False,0,1.0714285714285714
MLC-1973917649,1.0,1,1,7,True,1437.0,1437.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,33.0,0.0,60000.0,0.0,0.0,0.0,1.0,1.0,10.0,6691.0,4.0,2810.0,1764.0,100.0,470000.0,530000.0,4,12400.0,True,False,False,0,1.0606060606060606
MLC-1960282061,2.0,1,2,15,False,5214.5,5214.5,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,59.8,58.2,0.0,59000.0,1.0,0.0,0.0,1.0,1.0,7.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,550000.0,609000.0,4,10000.0,True,False,False,0,1.0274914089347078
MLC-1961382985,2.0,0,2,5,True,3913.1,3913.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,68.0,0.0,100000.0,1.0,1.0,0.0,1.0,1.0,4.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,650000.0,750000.0,4,12859.073359073358,True,False,False,0,1.0294117647058822
MLC-1966092899,1.0,1,1,7,True,926.7,926.7,5.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,38.0,1.0,70000.0,1.0,0.0,0.0,1.0,1.0,21.0,6178.0,3.0,2620.0,1658.0,100.0,490000.0,560000.0,2,12234.04255319149,True,False,False,0,1.0
MLC-1967388909,1.0,1,1,15,True,1445.8,4860.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,1.0,110000.0,1.0,1.0,0.0,1.0,0.0,4.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,400000.0,510000.0,3,11326.671128466121,True,False,True,0,1.125
MLC-1968288773,2.0,1,2,1,True,539.9,4504.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,68.0,1.0,100000.0,0.0,1.0,0.0,1.0,1.0,5.0,5879.0,4.0,12234.0,5977.0,80.4354882614475,640000.0,740000.0,0,10916.17933723197,True,False,True,0,1.0294117647058822
MLC-1968291315,1.0,0,1,5,True,1436.2,1436.2,5.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,40.0,37.0,1.0,65000.0,1.0,0.0,0.0,1.0,1.0,8.0,6382.0,3.0,2472.0,1579.0,44.7477970543667,400000.0,465000.0,4,12110.817941952508,True,False,False,0,1.0810810810810811
MLC-1969407175,1.0,0,1,7,True,975.0,975.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,4.0,0.0,40.0,40.0,0.0,70000.0,0.0,0.0,0.0,1.0,1.0,15.0,5492.0,1.0,2073.0,1418.0,100.0,430000.0,500000.0,2,11612.90322580645,True,False,False,0,1.0
MLC-2095435545,2.0,1,2,9,True,1685.1,2990.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,60000.0,0.0,0.0,0.0,1.0,0.0,1.0,5879.0,4.0,12234.0,5977.0,80.4354882614475,450000.0,510000.0,0,10166.666666666666,True,False,True,0,1.0
